"","WTFO","TEFO","BOFO","SAVA","STEP","DESE","TUND","Best","Best.num"
"525",8.46185449202211,19.3669092967107,17.9669092967107,1.4,2.8,2.8,13.6892005327111,"TEFO",2
"526",0,0,0,0,0,0,0,"WTFO",1
"527",0,0,0,0,0,0,0,"WTFO",1
"528",0,0,0,0,0,0,0,"WTFO",1
"529",0,0,0,0,0,0,0,"WTFO",1
"530",0,0,0,0,0,0,0,"WTFO",1
"531",0,0,0,0,0,0,0,"WTFO",1
"532",0,0,0,0,0,0,0,"WTFO",1
"533",11.1702177210241,18.5695182650817,17.4878528824425,2.48394846967484,2.48394846967484,2.48394846967484,12.8867660543115,"TEFO",2
"534",0,0,0,0,0,0,0,"WTFO",1
"535",13.5542448852048,21.5196561282082,16.9694216791122,2.55342906696074,3.67146305571064,3.67146305571064,12.4362108964549,"TEFO",2
"536",0,0,0,0,0,0,0,"WTFO",1
"537",10.3558245257843,18.1646152285672,18.1646152285672,1.91833260932509,1.91833260932509,1.91833260932509,12.7599875818186,"TEFO",2
"538",11.9196116918449,18.5353169007555,17.2238291958951,2.4454038521275,3.1011477045577,3.1011477045577,13.1458394950744,"TEFO",2
"539",10.1421551091867,17.4523671435397,17.4523671435397,2.26053091109146,2.26053091109146,2.26053091109146,12.8697914485838,"TEFO",2
"540",10.4982422793113,16.1998087390986,16.1998087390986,2.03715487874634,2.03715487874634,2.03715487874634,12.2274039258904,"TEFO",2
"541",14.3659255391098,21.7226595205866,18.8027773145908,1.04880884817015,3.44695996421272,2.69197652068565,13.6625914812076,"TEFO",2
"542",10.4751498112791,17.9870259999503,17.0489428479856,1.65227116418583,1.65227116418583,1.65227116418583,12.1581351437306,"TEFO",2
"543",13.9299973868194,20.8927979895787,19.2274366324253,3.11287648325468,4.09267238036795,4.09267238036795,15.6763804515124,"TEFO",2
"544",11.9783518388046,18.7102097061341,18.0319767078216,2.67581763205193,2.67581763205193,2.67581763205193,13.884688437156,"TEFO",2
"545",12.4270462474822,19.0931919349571,17.927001555988,2.96479341607472,2.96479341607472,2.96479341607472,12.9490501701266,"TEFO",2
"546",14.4999468795425,20.6022492739736,17.6811195367104,3.17490157327751,4.71762643533166,4.71762643533166,13.4091176640516,"TEFO",2
"547",0,0,0,0,0,0,0,"WTFO",1
"548",12.0562859634011,18.2834456416773,17.0834456416773,2.5298221281347,3.1298221281347,3.1298221281347,13.2078811666621,"TEFO",2
"549",0,0,0,0,0,0,0,"WTFO",1
"550",13.0065372777715,18.3138877189525,17.0569072099548,0.66332495807108,0.927900089177539,0.66332495807108,12.5491056945355,"TEFO",2
"551",0,0,0,0,0,0,0,"WTFO",1
"552",10.8215473979679,15.8860677286114,15.8860677286114,2.01246117974981,2.01246117974981,2.01246117974981,12.4978528593919,"TEFO",2
"553",10.2702253751612,16.7608549419411,16.7608549419411,1.28452325786651,1.28452325786651,1.28452325786651,12.5241109090781,"TEFO",2
"554",0,0,0,0,0,0,0,"WTFO",1
"555",13.9673736428546,18.6308655919909,16.0702401374866,2.91204395571221,4.11620341359144,4.11620341359144,12.9000666406571,"TEFO",2
"556",13.2570176909128,18.9210455815465,15.723457675303,2.13541565040626,3.40427340445121,3.40427340445121,11.6246773689191,"TEFO",2
"557",13.8590388395237,19.9561477843826,17.73746026174,2.34946802489415,3.73149552100267,3.73149552100267,13.403870525736,"TEFO",2
"558",13.4084511670677,18.7926874174564,15.9221473985749,3.32264954516723,4.75791955460796,4.75791955460796,10.5379111481862,"TEFO",2
"559",15.7889797471725,21.1882995955624,16.992078193441,1.27279220613579,3.78675322413109,3.78675322413109,11.9625789330317,"TEFO",2
"560",14.6545995584563,20.3911323943966,15.8868616469743,2.58263431402899,4.74596507930739,4.74596507930739,11.9081683941587,"TEFO",2
"561",16.2276134289402,20.7942386232025,17.0432911790012,3.71348892552543,6.22346900512765,6.22346900512765,13.717633349338,"TEFO",2
"562",15.3013523502457,19.470159252085,19.470159252085,6.5299310869258,6.5299310869258,6.5299310869258,17.6208350511943,"TEFO",2
"563",11.8293394546281,19.0752194195515,17.0818638761012,2.5298221281347,3.41864156986626,3.41864156986626,11.6744615422629,"TEFO",2
"564",12.0068232370268,17.631168777415,17.0480735879304,2.31948270094864,2.90257789043317,2.90257789043317,13.114881500071,"TEFO",2
"565",13.4124492001338,17.4320924358128,15.8103649617901,2.97993288515027,2.97993288515027,2.97993288515027,13.4124492001338,"TEFO",2
"566",10.9617691399023,17.8151502921168,16.8612110906998,1.9313207915828,2.88525999299974,2.88525999299974,12.1665332529776,"TEFO",2
"567",10.9097740716273,17.2405192895209,17.2405192895209,1.95703857907809,2.56531483210791,1.95703857907809,13.3572217217314,"TEFO",2
"568",11.0837981319209,15.6622587677492,14.6348969181996,0.92736184954957,1.02736184954957,1.02736184954957,11.992927955475,"TEFO",2
"569",13.2167682997654,19.4677999398593,17.7502435361276,3.87556447501522,5.59312087874699,5.59312087874699,14.3487732657886,"TEFO",2
"570",13.7673558098221,17.2602056491367,16.2161749982457,3.25729949498047,3.25729949498047,3.25729949498047,11.67929450804,"TEFO",2
"571",10.701796575883,18.3315232040434,18.3315232040434,1.97484176581315,1.97484176581315,1.97484176581315,13.9406235240234,"TEFO",2
"572",12.3738822384562,18.8821061822503,17.2207814096667,2.1540659228538,3.52324478985906,2.98472830914561,12.5699750279733,"TEFO",2
"573",11.9172182113257,17.829046409175,16.3943576178169,2.01494416796099,2.58940043261479,2.58940043261479,12.2797494955288,"TEFO",2
"574",11.1230931291331,17.398211826428,16.5496836890041,1.78044938147649,1.78044938147649,1.78044938147649,12.8918154573697,"TEFO",2
"575",8.84173999832811,17.5316024584096,16.8460369983695,0.685565460040104,1.37113092008021,1.37113092008021,11.4953361097008,"TEFO",2
"576",10.7323945118137,16.6356420199592,16.6356420199592,2.28254244210267,2.28254244210267,2.28254244210267,12.7963712558687,"TEFO",2
"577",10.7196011930353,17.9919531565334,16.9760811095116,0.591607978309962,1.28321595661992,1.18321595661992,11.5616109104866,"TEFO",2
"578",10.3946689195231,18.0749207376845,18.0749207376845,1.75783958312469,2.39029511515837,1.75783958312469,14.2933866574467,"TEFO",2
"579",10.5260892970402,17.6943180862959,17.6943180862959,1.4560219778561,1.4560219778561,1.4560219778561,12.5705756699073,"TEFO",2
